id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
86,레몬간장연어덮밥,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
87,보달라,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,백순대곱창 볶음 2인,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
89,1+한우채끝 (150g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
90,삼족찜(1인분),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,생제주오겹살(300g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
92,특양 (200g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,크림양송이 스파게티,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
94,싱글,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,아귀포(2마리),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,모듬 오뎅,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
97,"추천
마차이짬뽕",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
98,노미호다이-무한리필(1인당),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,마라룽샤 (소),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,감자탕 (대),TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
101,생삼겹살(200g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
102,생과일 샐러드,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
103,9온즈 버거,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
104,제계치,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
105,볶음밥(1인분),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
106,삼백돈 돈가츠,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
107,와인 15종,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,크림파스타,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
109,치즈감자전,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,양꼬치(1인),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
111,한우꽃등심(200g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
112,족발+보쌈 (소),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
113,인헌김치찌개,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
114,해물찜 (소),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,곱창전골,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
116,영구짜장,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
117,항정 스테이크,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
