id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
2135,돈데이 성대시장점,0,493,"월,화,수,목,금,토,일",11:00,02:00,null,False,,
2136,기꾸포차랑호프,0,1712,null,null,null,null,False,,
2137,기절초풍 물닭갈비,2.2,1115,"월,화,수,목,금",11:30,23:00,466,False,,
2138,두부마을,3.3,301,null,null,null,null,False,,
2139,토방마루,5.0,975,null,null,null,682,False,,
2140,고기마을,0,2130,null,null,null,null,False,,
2141,논두렁 갈비,4.8,1953,"월,화,수,목,금,토,일",10:00,22:00,629,False,,
2142,28청춘포차,0,1707,null,null,null,null,False,,
2143,이삭김밥,3.8,2144,"월,화,수,목,금,토",09:00,20:00,390,False,,
2144,고향토종순대곱창,0,1015,null,null,null,151,False,,
2145,양심,0,978,null,null,null,null,False,,
2146,광명,3.7,2050,"월,화,수,목,금,토,일",15:00,03:00,193,False,,
2147,지짐이,0,1707,null,null,null,null,True,,
2148,함지박,3.3,1619,"월,화,수,목,금,토,일",11:00,21:30,12,False,,
2149,수타일번지,5.0,1466,null,null,null,null,False,,
2150,설쌈냉면,3.0,1098,null,null,null,null,False,,
2151,웨스트코스트,5.0,2115,null,null,null,null,False,,
2152,포마토,4.2,2030,null,null,null,568,False,,
2153,불타는 소금구이,4.0,895,"월,화,수,목,금,토",15:00,02:00,770,False,,
2154,시래불고기 화풍정,3.9,518,"월,화,수,목,금,토,일",11:00,23:00,355,False,,
2155,강남손칼국수,0,240,null,null,null,null,False,,
2156,훌랄라숯불바베큐,5.0,1971,"월,화,수,목,금,토,일",16:00,24:00,771,False,,
2157,소문난순대국,3.0,1827,null,null,null,null,False,,
2158,벌나비,0,1521,null,null,null,null,False,,
2159,김밥이맛있는집,평점 없음,947,null,null,null,null,False,,
2160,우리풍천장어,4.5,850,null,null,null,13,False,,
2161,대가설렁탕,0,1970,null,null,null,null,False,,
2162,전주청국장,2.2,86,null,null,null,838,False,,
2163,상투골,5.0,745,"월,화,수,목,금,토,일",16:00,03:00,797,False,,
2164,투다리,4.0,576,null,null,null,null,True,,
2165,약수순대국감자탕,3.0,2074,null,null,null,null,False,,
2166,상도곱창,3.4,978,"화,수,목,금,토",15:00,24:00,854,False,,
2167,용마골,4.7,490,null,null,null,null,False,,
2168,엉터리생고기,평점 없음,524,null,null,null,null,True,,
2169,이필배의 진짜루명태촌,4.6,771,null,null,null,456,False,,
2170,노다지,4.4,553,"월,화,수,목,금,토,일",11:00,22:00,null,False,,
2171,수제한식당,0,1418,null,null,null,127,False,,
2172,탈렌트,0,1320,null,null,null,null,False,,
2173,김밥매니아,3.8,154,null,null,null,null,False,,
2174,남도홍어,0,75,null,null,null,240,False,,
2175,성대생우동짜장,2.1,811,"월,화,수,목,금,토,일",00:00,24:00,997,False,,
2176,봉구비어,0,1015,null,null,null,null,False,,
2177,영광족발,3.5,1209,null,null,null,null,False,,
2178,낙지랑갈비랑,5.0,1428,null,null,null,null,False,,
2179,예원,5.0,1091,null,null,null,null,False,,
2180,종로곱창,3.3,1490,null,null,null,369,False,,
2181,황새골손칼국수,4.6,480,null,null,null,1063,False,,
2182,황궁쟁반짜장,2.0,1321,null,null,null,51,False,,
2183,아영이네,평점 없음,575,null,null,null,null,False,,
2184,봉구스밥버거,1.5,2040,null,null,null,430,True,,
2185,치킨마루 상도점,평점 없음,597,null,null,null,null,True,,
2186,백채김치찌개,평점 없음,2040,null,null,null,null,False,,
2187,고목생고기,평점 없음,421,null,null,null,null,False,,
2188,소문난순대집,평점 없음,1737,null,null,null,null,False,,
2189,상도 늘보리,평점 없음,1097,null,null,null,null,True,,
2190,세종대왕숯불갈비,평점 없음,579,null,null,null,null,False,,
2191,상도명태명가,평점 없음,1779,null,null,null,null,False,,
2192,한울전집,평점 없음,500,null,null,null,null,False,,
2193,명동찌개마을,평점 없음,2027,null,null,null,null,True,,
2194,써브웨이 숭실대점,평점 없음,824,null,null,null,null,False,,
2195,요란,평점 없음,240,null,null,null,null,False,,
2196,본죽&비빔밥 숭실대역점,평점 없음,2170,null,null,null,null,False,,
2197,어매순대국,평점 없음,986,null,null,null,null,False,,
2198,고가네숯불구이통닭,평점 없음,1911,null,null,null,null,False,,
2199,레미제라블,평점 없음,1561,null,null,null,null,False,,
2200,정다운식당,평점 없음,600,null,null,null,null,False,,
2201,지호한방삼게탕동작점,3.0,2070,null,null,null,229,False,,
2202,우리할매 떡볶이(상도점),4.0,1235,null,null,null,131,True,,
2203,인생곱창,평점 없음,1226,null,null,null,null,False,,
2204,국수나라,평점 없음,542,null,null,null,null,False,,
2205,파랑돌,0,2178,null,null,null,null,False,,
2206,약수 오리한마리,5.0,2261,null,null,null,238,False,,
2207,정송숙 12년전통 오렌지김밥,4.5,664,null,null,null,null,False,,
2208,오오뎅뎅,5.0,918,null,null,null,null,False,,
2209,남도한상,0,2052,null,null,null,240,False,,
2210,또봉이통닭(상도점),2.3,1569,null,null,null,134,True,,
2211,동네고깃집,3.3,1932,null,null,null,910,False,,
2212,돼지굽는연탄할매,2.8,1193,"월,화,수,목,금,토,일",15:00,02:00,664,False,,
2213,작은섬,4.9,953,"월,수,목,금,토,일",16:00,23:30,21,False,,
2214,아시안보울,4.7,655,"월,화,수,목,금,토",11:00,21:00,309,False,,
2215,으리으리,4.0,1335,null,null,null,1045,False,,
2216,국수사,3.2,371,"월,화,수,목,금,토",11:30,22:00,730,False,,
2217,후라이드 참 잘하는 집,4.0,9,null,null,null,423,True,,
2218,장수족발,5.0,526,null,null,null,null,False,,
2219,시골집,2.8,1582,"월,화,수,목,금,토,일",11:00,22:30,292,False,,
2220,짚동가리쌩주,0,1335,null,null,null,365,True,,
