id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
487,소 왕통갈비(1대),0,0,0,1,1,0,0,0
488,홍탄,0,0,0,0,0,0,0,0
489,고등어구이 정식,0,0,0,0,0,0,0,0
490,소갈비살(700g),0,0,0,1,1,0,0,0
491,의성마늘떡보쌈,0,1,0,0,1,0,0,0
492,와!메리카노 1.5L,0,0,0,0,0,0,0,0
493,바지락 수제비,1,0,0,1,0,1,0,0
494,쭈삼겹살(1인분),0,0,0,1,1,0,0,0
495,순한맛,0,0,0,0,0,0,0,0
496,한우 깍두기 볶음밥,0,0,0,1,1,0,1,0
497,매운쭈꾸미(1인),0,1,0,0,0,0,0,0
498,광어 사시미 (소),0,0,0,1,1,0,0,0
499,삼겹살 (180g),0,0,0,1,1,0,0,0
500,훠궈뷔페 (1인),1,0,0,1,1,0,0,0
501,너트 티라노 블렌딩,0,0,0,0,0,0,0,0
502,양평해장국,1,1,0,1,1,0,1,0
503,삼백돈 돈가츠,0,0,0,1,1,0,0,0
504,족발 大(앞다리),0,0,0,1,1,0,0,0
505,왕순대,0,0,0,0,0,0,0,0
506,참숯닭갈비 (250g),0,1,0,1,1,0,0,0
507,까페라떼,0,0,1,0,0,0,0,0
508,혼마구로초밥,0,0,0,0,0,0,1,0
509,고추장불고기,0,1,0,1,1,0,0,0
510,기본쌀국수,1,0,0,1,0,1,0,0
511,달리크림 파스타,0,0,1,1,0,1,0,0
512,낙곱새,1,1,0,1,1,0,0,0
513,특선활어회초밥(12pcs),0,0,0,0,0,0,1,0
514,닭다리살강정(중),0,0,0,1,1,0,0,0
515,바베큐플래터,0,0,0,1,1,0,0,0
516,과일안주,0,0,1,0,0,0,0,0
517,모듬과일,0,0,1,0,0,0,0,0
518,흑돼지 (180g),0,0,0,1,1,0,0,0
519,영양탕,1,0,0,1,1,0,0,0
520,소고기된장전골,1,1,0,1,1,0,0,0
521,한방보쌈 (대),0,0,0,0,1,0,0,0
522,어멍한판(500g),0,0,0,0,0,0,0,0
523,치슐랭,0,0,0,0,0,0,0,0
524,오리지날 프린스튼 후라이드 치킨,0,0,0,1,1,0,0,0
525,젠젠 팡케키,0,0,0,0,0,0,0,0
526,한치 땅콩,0,0,0,0,0,0,0,0
527,불고기파전,0,0,0,1,1,0,0,0
528,감나무 점심특선,0,0,0,0,0,0,0,0
529,풍부한 단맛 토종양파 삼선짜장면,0,0,1,1,0,0,0,0
530,해물탕(중),1,1,0,1,0,0,0,0
531,달빛크림라떼,0,0,1,0,0,0,0,0
532,육회(중),0,0,0,0,1,0,0,0
533,산낙지철판,0,0,0,1,0,0,0,0
534,우동정식,1,0,0,1,0,1,0,0
535,꼬막비빔밥,0,0,0,0,0,0,1,0
536,삼겹살,0,0,0,1,1,0,0,0
537,돼지오징어타마,0,0,0,1,1,0,0,0
538,아메리카노 (BLACK),0,0,0,0,0,0,0,0
539,직화 불막창,0,0,0,1,1,0,0,0
540,옛날통닭(한마리),0,0,0,1,1,0,0,0
541,뚝배기 닭볶음탕,0,1,0,1,1,0,0,0
542,단호박죽,1,0,1,0,0,0,0,0
543,크림라떼,0,0,1,0,0,0,0,0
544,광어대파회,0,0,0,1,1,0,0,0
545,모듬초밥(10p),0,0,0,0,0,0,1,0
546,치즈돈까스 모밀세트 1인분,0,0,0,1,1,0,0,0
547,생맥주,0,0,0,0,0,0,0,0
548,샤오룽바오,0,0,0,0,0,0,0,0
549,고묵이,0,0,0,0,0,0,0,0
550,곱밥,0,0,0,0,0,0,1,0
551,토마토 그린빈 샐러드,0,0,0,0,0,0,0,0
552,홍두깨,0,0,0,0,0,0,0,0
553,참치회 미 메뉴,0,0,0,0,0,0,0,0
554,토마토 모짜렐라 파스타,0,0,0,1,0,1,0,0
555,기꾸초밥,0,0,0,0,0,0,1,0
556,오일세트,0,0,0,0,0,0,0,0
557,생삼겹살 (200g),0,0,0,1,1,0,0,0
558,닥치고 커플SET,0,0,0,0,0,0,0,0
559,엠브로돈까스,0,0,0,1,1,0,0,0
560,카페라떼,0,0,1,0,0,0,0,0
561,바싹불고기 (M),0,0,0,1,1,0,0,0
562,설맥치킨,0,0,0,1,1,0,0,0
563,사바이소베마끼+우니,0,0,0,0,0,0,0,0
564,짝태,0,0,0,0,0,0,0,0
565,골드 치킨 텐더 피자,0,0,0,1,1,0,0,1
566,감자탕 (대),1,1,0,1,1,0,0,0
567,양념수대곱창(2인분),0,0,0,1,1,0,0,0
568,오뎅탕,1,0,0,1,0,0,0,0
569,생연어 사시미,0,0,0,0,1,0,0,0
570,도야족발_중,0,0,0,0,1,0,0,0
571,소고기 쌀국수,1,0,0,1,1,1,0,0
572,본래순대국,1,0,0,1,1,0,1,0
573,골목한상,0,0,0,0,0,0,0,0
574,보쌈정식,0,0,0,0,1,0,0,0
575,1미터 무한리필,0,0,0,0,0,0,0,0
576,혼네 규카츠,0,0,0,1,1,0,0,0
577,미친피자 시그니처(M),0,0,0,1,0,0,0,1
578,토시살 (150g),0,0,0,1,1,0,0,0
579,로스 돈가츠,0,0,0,1,1,0,0,0
580,크림생맥주,0,0,1,0,0,0,0,0
581,한우소머리곰탕,1,0,0,1,1,0,1,0
582,통국물닭발 (중),1,1,0,1,1,0,0,0
583,감자 튀김,0,0,0,1,0,0,0,0
584,사케동,0,0,0,0,0,0,1,0
585,수타짜장,0,0,0,1,0,0,0,0
586,곱창구이 (2인),0,0,0,1,1,0,0,0
587,페이머스,0,0,0,0,0,0,0,0
588,탄탄면,0,0,0,0,0,0,0,0
589,팟타이,0,0,0,0,0,0,0,0
590,치즈김치전,0,0,0,0,0,0,0,0
591,도토리칼국수,1,0,0,1,0,1,0,0
592,전복삼계탕,1,0,0,1,1,0,0,0
593,치즈해물떡볶이,1,1,1,1,0,0,0,0
594,A 돼지갈비 스테이크 무한 (1인),0,0,0,1,1,0,0,0
595,순살치킨,0,0,0,1,1,0,0,0
596,매드쉬림프 피자(L),0,0,0,1,0,0,0,1
597,통뼈국물닭발,1,1,0,1,1,0,0,0
598,삼겹살 (200g),0,0,0,1,1,0,0,0
599,연인세트A,0,0,0,0,0,0,0,0
600,대포찜닭 (2인),1,0,0,1,1,0,0,0
601,장어탕 (식사),0,0,0,0,0,0,0,0
602,닭도리탕,1,1,0,1,1,0,0,0
603,얼쑤절쑤 불고기 크림파스타,0,0,1,1,1,1,0,0
604,짬봉탕,0,0,0,0,0,0,0,0
605,돼지볶음쌈밥,0,0,0,1,1,0,1,0
606,갈치조림,1,1,0,1,0,0,0,0
607,아구찜 (큰소),1,1,0,1,0,0,0,0
608,더바삭치킨 뼈,0,0,0,1,1,0,0,0
609,이베리코 한판 (2~3인용),0,0,0,1,1,0,0,0
610,깐쇼새우,0,0,0,0,0,0,0,0
611,계란피자,0,0,0,1,0,0,0,1
612,예즈지,0,0,0,0,0,0,0,0
613,유기농 순두부찌개,1,1,0,1,0,0,1,0
614,그린스무디,0,0,1,0,0,0,0,0
615,봉천동 나시고랭,0,0,0,0,0,0,1,0
616,소곱창 (200g),0,0,0,1,1,0,0,0
617,부대찌개,1,1,0,1,0,0,1,0
618,닭매운탕,1,1,0,1,1,0,0,0
619,계란찜,0,0,0,0,0,0,0,0
620,한우 (150g),0,0,0,1,1,0,0,0
621,냄비오뎅,1,0,0,1,0,0,0,0
622,참다랑어 뱃살모듬,0,0,0,0,0,0,0,0
623,뿌링클,0,0,1,1,1,0,0,0
624,클래식치즈버거,0,0,0,0,1,0,0,1
625,강남샤브샤브,1,0,0,1,1,0,0,0
626,한우꽃등심(150g),0,0,0,1,1,0,0,0
627,미니족,0,0,0,0,1,0,0,0
628,노스 아일랜드IPA (435ml),0,0,0,0,0,0,0,0
629,네코스시,0,0,0,0,0,0,1,0
630,가족세트4~5인용,0,0,0,0,0,0,0,0
631,과일 요거트,0,0,1,0,0,0,0,0
632,시즈닝감자치킨,0,0,0,1,1,0,0,0
633,원조김밥,0,0,0,0,0,0,1,0
634,닭모래집,0,0,0,1,1,0,0,0
635,꽃등심(200g),0,0,0,1,1,0,0,0
636,해물찜 (소),0,0,0,0,0,0,0,0
637,청년초밥(11p),0,0,0,0,0,0,1,0
638,100%수제양념돼지갈비 (250g),0,0,0,1,1,0,0,0
639,낙곱전골(소),1,1,0,1,1,0,0,0
640,지코바 소금구이,0,0,0,1,1,0,0,0
641,수제돈까스,0,0,0,1,1,0,0,0
642,손칼국수,1,0,0,1,0,1,0,0
643,곱창볶음 (1인분),0,0,0,1,1,0,0,0
644,직화불고기피자(2인),0,0,0,1,1,0,0,1
645,짜장,0,0,0,1,0,0,0,0
646,왕족방 (소),0,0,0,0,0,0,0,0
647,대창 감바스,0,0,0,0,0,0,0,0
648,아메리카노(HOT),0,1,0,0,0,0,0,0
649,호가든 생 2잔&나쵸,0,0,0,0,0,0,0,0
650,A set,0,0,0,0,0,0,0,0
651,탐포탕,0,0,0,0,0,0,0,0
652,볼 샐러드,0,0,0,0,0,0,0,0
653,오로히,0,0,0,0,0,0,0,0
654,돼지갈비 (250g),0,0,0,1,1,0,0,0
655,야매이카BBQ,0,0,0,0,0,0,0,0
656,얼큰모듬짬뽕,1,1,0,1,0,1,0,0
657,로제삼겹살,0,0,1,1,1,0,0,0
658,이젠떡볶이,1,1,1,1,0,0,0,0
659,붉은대게장 비빔밥,0,0,0,0,0,0,1,0
660,광어 (소),0,0,0,1,1,0,0,0
661,짜장면,0,0,0,1,0,0,0,0
662,해물찜,0,0,0,0,0,0,0,0
663,통뼈닭발 (소),0,1,0,1,1,0,0,0
664,꽃듬심 (150g),0,0,0,0,0,0,0,0
665,나눔]킹쉬L+리얼순살+양념,0,0,0,0,1,0,0,0
666,고기 왕만두(5개),0,0,0,1,1,0,0,0
667,아메리카노,0,0,0,0,0,0,0,0
668,왕새우구이,0,0,0,0,0,0,0,0
669,부대찌개무한리필(성인),1,1,0,1,0,0,1,0
670,정든 김밥,0,0,0,0,0,0,1,0
671,녹두삼계탕,1,0,0,1,1,0,0,0
672,한우곱창한판(2인분),0,0,0,1,1,0,0,0
673,제계치,0,0,0,1,1,0,1,0
674,어메이징 크리스피 후라이드 치킨,0,0,0,1,1,0,0,0
675,뚝배기불고기,0,0,0,1,1,0,0,0
676,치즈크러스트피자(R),0,0,0,1,0,0,0,1
677,Set A(1인),0,0,0,0,0,0,0,0
678,코카콜라500ml,0,0,0,0,0,0,0,0
679,곱창 (200g),0,0,0,1,1,0,0,0
680,탕수육 (소),0,0,1,1,1,0,0,0
681,황소알곱창 (2인분),0,0,0,1,1,0,0,0
682,광어초밥 (2P),0,0,0,1,1,0,1,0
683,후라이드 치킨,0,0,0,1,1,0,0,0
684,해물순두부찌개,1,1,0,1,0,0,1,0
685,바싹불고기오징어 한상,0,0,0,1,1,0,0,0
686,도니꾸차슈라,0,0,0,0,0,0,0,0
687,양다리(1kg),0,0,0,1,1,0,0,0
688,이베리코돼지 편백세트 (2인추천),0,0,0,1,1,0,0,0
689,한우소고기 돌미여국 정찬,0,0,0,1,1,0,0,0
690,우동,1,0,0,1,0,1,0,0
691,오겹살 (180g),0,0,0,1,1,0,0,0
692,육회덮밥,0,0,0,0,1,0,1,0
693,국내산차돌박이(1인분),0,0,0,1,1,0,0,0
694,싸움보쌈(M),0,0,0,0,1,0,0,0
695,특정식(1인분),0,0,0,0,0,0,0,0
696,베리버터스콘,0,0,0,0,0,0,0,0
697,손칼국수 (보),1,0,0,1,0,1,0,0
698,듀록 냉삼겹 (1인분),0,0,0,1,1,0,0,0
699,감튀 (S),0,0,0,1,0,0,0,0
700,생삼겹살,0,0,0,1,1,0,0,0
701,양푼등갈비,0,0,0,1,1,0,0,0
702,카우키 롤,0,0,0,0,0,0,0,0
703,광명종합셋트,0,0,0,0,0,0,0,0
704,황궁 쟁반짜장,0,0,0,1,0,0,0,0
705,닭백숙,0,0,0,1,1,0,0,0
706,모둠조개구이 (2인),0,0,0,0,0,0,0,0
707,마그마 오믈렛,0,0,0,0,0,0,0,0
708,누룩솔트후라이드 (콘),0,0,0,1,1,0,0,0
709,믹스가츠동,0,0,0,1,1,0,1,0
710,가래떡떡볶이,1,1,1,1,0,0,0,0
711,냉만두국,0,0,0,1,0,0,0,0
712,은행꼬치,0,0,0,1,1,0,0,0
713,왕재곱창 (2인분),0,0,0,1,1,0,0,0
714,당근케이크,0,0,1,0,0,0,0,1
715,[NEW]두찜 트러플크림찜닭,1,0,1,1,1,0,0,0
716,평일런치 (오후 5시 이전),0,0,0,0,0,0,0,0
717,고기밥,0,0,0,0,1,0,1,0
718,핀프릭 브런치 플레이트,0,0,0,0,0,0,0,0
719,함흥회냉면,1,0,0,0,0,1,0,0
720,엄청 큰 후라이드 치킨,0,0,0,1,1,0,0,0
721,샤브(1인),1,0,0,1,1,0,0,0
722,마왕통구이 (소),0,0,0,1,1,0,0,0
723,보성녹돈삼겹살,0,0,0,1,1,0,0,0
724,짜오판,0,0,0,0,0,0,0,0
725,치즈닭갈비,0,1,0,1,1,0,0,0
726,해물파전,0,0,0,1,0,0,0,0
727,자장면,0,0,0,1,0,1,0,0
728,파절이삼겹살,0,0,0,1,1,0,0,0
729,소곱창(180g),0,0,0,1,1,0,0,0
730,하와이언 (R),0,0,0,0,0,0,0,0
731,대구뽈찜 (특),0,0,0,0,0,0,0,0
732,봉스쭈꾸미 (1인분) (저녁메뉴),0,0,0,0,0,0,0,0
733,볶음짬뽕,1,1,0,1,0,1,0,0
734,트리플치즈 텐더치킨,0,0,0,1,1,0,0,0
735,소갈비살,0,0,0,1,1,0,0,0
736,연포정식,0,0,0,0,0,0,0,0
737,케이준 치킨 크림파스타,0,0,1,1,1,1,0,0
738,우리보쌈(소),0,0,0,0,1,0,0,0
739,소왕갈비,0,0,0,1,1,0,0,0
740,수제본함박 스테이크,0,0,0,1,1,0,0,0
741,수입맥주,0,0,0,0,0,0,0,0
742,GELATO (꼬노),0,0,0,0,0,0,0,0
743,봉골레 파스타,0,0,0,1,0,1,0,0
744,세트메뉴,0,0,0,0,0,0,0,0
745,마라탕 (육수류) (100g),1,1,0,1,1,0,0,0
746,광어(소),0,0,0,1,1,0,0,0
747,곱창소금구이,0,0,0,1,1,0,0,0
748,모듬구이 (200g),0,0,0,1,1,0,0,0
749,데미 토마호크 커틀렛,0,0,0,1,1,0,0,0
750,생과일 샐러드,0,0,1,0,0,0,0,0
751,통닭발,0,1,0,1,1,0,0,0
752,에스프레소,1,0,0,0,0,0,0,0
753,로제떡볶이,1,1,1,1,0,0,0,0
754,곱창 (2인분),0,0,0,1,1,0,0,0
755,모듬 (500g),0,0,0,0,0,0,0,0
756,돌솥밥 추어탕,1,1,0,1,0,0,1,0
757,마제루롤 정식 (저녁),0,0,0,0,0,0,0,0
758,아김밥 세트 1인분,0,0,0,0,0,0,1,0
759,한우곱창(200g),0,0,0,1,1,0,0,0
760,마라탕,1,1,0,1,1,0,0,0
761,마라훠궈전골 (양고기 or 소고기 택1),1,1,0,1,1,0,0,0
762,특명품순두부,0,0,0,0,0,0,0,0
