id,city,district,road,building_num,floor,location
695,서울특별시,관악구,국회단지길,144,null,설입
696,서울특별시,서대문구,연세로7길,20,null,신촌
697,서울특별시,서대문구,명물길,16,null,신촌
698,서울특별시,관악구,낙성대역길,27,null,설입
699,서울특별시,관악구,봉천로,615,null,설입
700,서울특별시,동작구,상도로,168,null,숭입
701,서울특별시,서대문구,신촌로,117,null,신촌
702,서울특별시,관악구,행운1길,132,1층,설입
703,서울특별시,동작구,성대로1길,16,null,숭입
704,서울특별시,관악구,관악로,164,null,설입
705,서울특별시,관악구,청룡길,9,null,설입
706,서울특별시,관악구,장군봉1길,19,null,설입
707,서울특별시,관악구,남부순환로,1895,null,설입
708,서울특별시,동작구,상도로47바길,48,null,숭입
709,서울특별시,서대문구,연세로7안길,20,null,신촌
710,서울특별시,관악구,인헌길,29,null,설입
711,서울특별시,관악구,남부순환로,1751,null,설입
712,서울특별시,동작구,장승배기로,75,null,숭입
713,서울특별시,관악구,관악로16길,26,null,설입
714,서울특별시,관악구,낙성대역길,96,null,설입
715,서울특별시,관악구,봉천로,507-30,null,설입
716,서울특별시,서대문구,명물길,70,null,신촌
717,서울특별시,관악구,은천로,38-1,null,설입
718,서울특별시,동작구,성대로,40,null,숭입
719,서울특별시,동작구,장승배기로10길,21,null,숭입
720,서울특별시,관악구,관악로14길,110,null,설입
721,서울특별시,관악구,관악로16길,25,null,설입
722,서울특별시,서대문구,명물길,23,3층,신촌
723,서울특별시,동작구,상도로30길,39,null,숭입
724,서울특별시,관악구,중앙길,43,null,설입
725,서울특별시,관악구,봉천로,209,지하2층,설입
726,서울특별시,관악구,은천로6길,14,null,설입
727,서울특별시,관악구,봉천로,495,null,설입
728,서울특별시,서대문구,명물길,27-19,null,신촌
729,서울특별시,서대문구,연세로7안길,34-4,null,신촌
730,서울특별시,관악구,관악로24길,14,지하1층,설입
731,서울특별시,관악구,봉천로,576,null,설입
732,서울특별시,관악구,낙성대로,12,null,설입
733,서울특별시,관악구,행운2길,16,null,설입
734,서울특별시,관악구,은천로,32,null,설입
735,서울특별시,동작구,사당로,34,2층,숭입
736,서울특별시,동작구,사당로,6-1,null,숭입
737,서울특별시,서대문구,연세로,5,1층,신촌
738,서울특별시,관악구,봉천로,219,null,설입
739,서울특별시,서대문구,연세로11길,13,null,신촌
740,서울특별시,관악구,보라매로,18,null,설입
741,서울특별시,동작구,만양로,11,null,숭입
742,서울특별시,관악구,은천로,18,null,설입
743,서울특별시,관악구,남부순환로,1835-26,null,설입
744,서울특별시,관악구,인헌길,40,null,설입
745,서울특별시,관악구,낙성대역길,85,null,설입
746,서울특별시,서대문구,연세로5가길,29,null,신촌
747,서울특별시,관악구,은천로,1,null,설입
748,서울특별시,서대문구,연세로12길,26,null,신촌
749,서울특별시,관악구,인헌3가길,2,null,설입
750,서울특별시,서대문구,신촌역로,39,null,신촌
751,서울특별시,동작구,양녕로25길,2-4,null,숭입
752,서울특별시,동작구,상도로,368-1,null,숭입
753,서울특별시,관악구,관악로15길,21,null,설입
754,서울특별시,관악구,남부순환로,1868,null,설입
755,서울특별시,관악구,봉천로,375,null,설입
756,서울특별시,관악구,남부순환로234길,21,null,설입
757,서울특별시,관악구,남부순환로224길,13,null,설입
758,서울특별시,동작구,양녕로25길,2-8,null,숭입
759,서울특별시,동작구,만양로,11,null,숭입
760,서울특별시,관악구,관악로15길,24,null,설입
761,서울특별시,관악구,양녕로2길,4,null,설입
762,서울특별시,서대문구,연세로9길,10-7,null,신촌
763,서울특별시,관악구,남부순환로248길,29,null,설입
764,서울특별시,서대문구,연세로9길,10-1,null,신촌
765,서울특별시,서대문구,신촌로1길,7,null,신촌
766,서울특별시,동작구,상도로36길,39,null,숭입
767,서울특별시,관악구,남부순환로248길,38,null,설입
768,서울특별시,동작구,성대로29길,63,null,숭입
769,서울특별시,관악구,남부순환로234길,22,null,설입
770,서울특별시,동작구,상도로,112,null,숭입
771,서울특별시,관악구,남부순환로,1820,10층,설입
772,서울특별시,동작구,국사봉1길,58,null,숭입
773,서울특별시,관악구,남부순환로200길,9,null,설입
774,서울특별시,관악구,보라매로2길,1,null,설입
775,서울특별시,관악구,봉천로,520,null,설입
776,서울특별시,서대문구,연세로7안길,10-7,null,신촌
777,서울특별시,서대문구,명물길,59,null,신촌
778,서울특별시,동작구,성대로29길,63,null,숭입
779,서울특별시,관악구,인헌길,40,null,설입
780,서울특별시,동작구,성대로1길,6,null,숭입
781,서울특별시,관악구,인헌길,85,null,설입
782,서울특별시,관악구,청림3마길,26,null,설입
783,서울특별시,관악구,관악로,208,null,설입
784,서울특별시,관악구,남부순환로248길,38,null,설입
785,서울특별시,관악구,인헌4길,13,null,설입
786,서울특별시,관악구,구암길,10,null,설입
787,서울특별시,관악구,봉천로,361,null,설입
788,서울특별시,관악구,봉천로23길,12,null,설입
789,서울특별시,서대문구,명물길,32,지하1층,신촌
790,서울특별시,서대문구,연희로2길,11,null,신촌
791,서울특별시,서대문구,연세로9길,10-7,null,신촌
792,서울특별시,관악구,봉천로,534,null,설입
793,서울특별시,관악구,봉천로,359,null,설입
794,서울특별시,서대문구,연세로4길,45,null,신촌
795,서울특별시,관악구,은천로,48,null,설입
796,서울특별시,관악구,쑥고개로,68-1,null,설입
797,서울특별시,관악구,남부순환로,1726,null,설입
798,서울특별시,관악구,남부순환로,1891,null,설입
799,서울특별시,관악구,관악로16길,25,null,설입
800,서울특별시,관악구,봉천로,379,null,설입
801,서울특별시,관악구,청림6길,18,null,설입
802,서울특별시,동작구,사당로,56,null,숭입
803,서울특별시,관악구,보라매로3길,29,null,설입
804,서울특별시,관악구,남부순환로,1899,null,설입
805,서울특별시,동작구,상도로37길,66,null,숭입
806,서울특별시,서대문구,연세로9길,10-7,null,신촌
807,서울특별시,관악구,보라매로3길,29,null,설입
808,서울특별시,관악구,국회단지길,10,null,설입
809,서울특별시,서대문구,연세로7안길,50,null,신촌
810,서울특별시,서대문구,연세로7길,17,null,신촌
811,서울특별시,서대문구,연세로7안길,28-5,null,신촌
812,서울특별시,관악구,행운1길,31,null,설입
813,서울특별시,관악구,남부순환로,1924,null,설입
814,서울특별시,관악구,청룡1길,33,null,설입
815,서울특별시,관악구,청룡1길,16,null,설입
816,서울특별시,관악구,은천로25길,9-2,1층,설입
817,서울특별시,동작구,국사봉1길,24,null,숭입
818,서울특별시,관악구,은천로25길,27,null,설입
819,서울특별시,관악구,남부순환로224길,31,null,설입
820,서울특별시,서대문구,연세로5가길,8-6,null,신촌
821,서울특별시,관악구,남부순환로248길,15,null,설입
822,서울특별시,동작구,상도로47길,10,null,숭입
823,서울특별시,동작구,성대로,46,null,숭입
824,서울특별시,관악구,봉천로53길,5,null,설입
825,서울특별시,관악구,남부순환로230길,40-4,null,설입
826,서울특별시,관악구,남부순환로226길,23-7,1층,설입
827,서울특별시,관악구,청룡2길,39,null,설입
828,서울특별시,관악구,관악로14길,77,null,설입
829,서울특별시,서대문구,연세로9길,32,null,신촌
830,서울특별시,관악구,남부순환로218길,1,1층,설입
831,서울특별시,관악구,봉천로,492,null,설입
832,서울특별시,관악구,청림길,7-1,null,설입
833,서울특별시,관악구,청림2길,31-8,null,설입
834,서울특별시,관악구,남부순환로,1934,null,설입
835,서울특별시,서대문구,명물길,50-7,null,신촌
836,서울특별시,동작구,상도로62길,35,null,숭입
837,서울특별시,관악구,남부순환로230길,60,null,설입
838,서울특별시,동작구,사당로,32-1,null,숭입
839,서울특별시,관악구,청룡4길,5,null,설입
840,서울특별시,서대문구,연세로5나길,14,1층,신촌
841,서울특별시,서대문구,연세로7안길,28-3,null,신촌
842,서울특별시,관악구,봉천로,237-6,null,설입
843,서울특별시,관악구,남부순환로248길,78,null,설입
844,서울특별시,관악구,관악로16길,13,3층,설입
845,서울특별시,동작구,상도로,153,null,숭입
846,서울특별시,동작구,상도로31길,83,null,숭입
847,서울특별시,관악구,남부순환로,1725,null,설입
848,서울특별시,서대문구,연세로7안길,14,null,신촌
849,서울특별시,서대문구,연세로9길,37,null,신촌
850,서울특별시,관악구,남부순환로,1850,null,설입
851,서울특별시,관악구,낙성대로,22-10,null,설입
852,서울특별시,관악구,봉천로,251-1,null,설입
853,서울특별시,동작구,상도로67길,31,null,숭입
854,서울특별시,서대문구,명물길,33,null,신촌
855,서울특별시,관악구,청림길,3-1,null,설입
856,서울특별시,서대문구,연세로,42-22,null,신촌
857,서울특별시,관악구,쑥고개로,137,null,설입
858,서울특별시,관악구,남부순환로210길,5,null,설입
859,서울특별시,관악구,청림6길,3,1층,설입
860,서울특별시,서대문구,성산로22길,4,null,신촌
861,서울특별시,관악구,관악로29길,5,null,설입
862,서울특별시,서대문구,연세로7길,32,null,신촌
863,서울특별시,동작구,성대로1가길,27,null,숭입
864,서울특별시,관악구,봉천로,564,1층,설입
865,서울특별시,관악구,남부순환로,1925,null,설입
866,서울특별시,관악구,청림길,4-1,null,설입
867,서울특별시,관악구,장군봉1길,48,null,설입
868,서울특별시,관악구,남부순환로,1679,null,설입
869,서울특별시,서대문구,신촌로,11-5,null,신촌
870,서울특별시,동작구,만양로2길,2,null,숭입
871,서울특별시,관악구,봉천로,334,null,설입
872,서울특별시,관악구,관악로14길,69,null,설입
873,서울특별시,서대문구,연세로4길,19,null,신촌
874,서울특별시,관악구,봉천로25길,13,null,설입
875,서울특별시,서대문구,신촌로11길,11-11,null,신촌
876,서울특별시,서대문구,신촌로,87-8,1층,신촌
877,서울특별시,관악구,관악로,146,null,설입
878,서울특별시,관악구,관악로14길,70,null,설입
879,서울특별시,동작구,상도로30길,22,null,숭입
880,서울특별시,관악구,양녕로,40-1,null,설입
881,서울특별시,서대문구,연세로5가길,11,null,신촌
882,서울특별시,동작구,양녕로24길,8,null,숭입
883,서울특별시,관악구,남부순환로,1739-3,null,설입
884,서울특별시,동작구,등용로,17,null,숭입
885,서울특별시,관악구,봉천로,586-1,null,설입
886,서울특별시,관악구,남부순환로,1754,null,설입
887,서울특별시,관악구,봉천로23길,7,null,설입
888,서울특별시,관악구,관악로,113,null,설입
889,서울특별시,관악구,봉천로,491-1,null,설입
890,서울특별시,관악구,쑥고개로,137,null,설입
891,서울특별시,관악구,봉천로,469-8,null,설입
892,서울특별시,서대문구,연세로4길,28,null,신촌
893,서울특별시,관악구,관악로14길,15,null,설입
894,서울특별시,관악구,봉천로,355,null,설입
895,서울특별시,관악구,봉천로49길,3,null,설입
896,서울특별시,관악구,봉천로,473-13,null,설입
897,서울특별시,관악구,봉천로13길,5,null,설입
