restaurant_id,menu_id
232,667
232,752
232,1642
232,560
232,3521
232,3431
232,4407
235,913
235,2170
235,3314
235,2614
235,2651
236,402
236,1701
236,2348
236,2027
236,1660
236,2872
237,430
237,21
237,4075
237,820
237,906
238,81
238,1998
238,1342
238,2786
238,786
238,3782
239,177
239,1458
239,4481
239,2174
239,3014
240,127
240,4026
240,2857
240,2825
240,4763
241,424
241,4324
241,2690
241,2339
241,2528
241,4678
242,212
242,128
242,4297
242,690
242,2934
244,414
244,2649
244,3864
244,3199
244,1299
244,375
244,2916
246,976
246,1449
246,3867
246,1207
246,3136
246,3759
247,792
247,2933
247,3470
247,1358
247,2393
248,754
249,433
249,2684
249,3485
249,3205
249,1278
251,423
251,2107
251,1341
251,4454
252,161
252,1986
252,4525
252,3217
252,3586
252,2140
255,745
255,3288
255,2364
255,1163
255,3491
256,505
256,2653
256,1402
256,4562
256,4147
256,414
256,2649
257,421
257,1072
257,2646
257,1869
257,3664
257,3617
259,1045
259,4091
259,1510
259,1429
259,4427
260,85
260,3361
260,4408
260,1078
260,2666
261,686
261,2018
261,4602
261,4118
261,4120
263,957
263,2856
263,3319
263,4081
263,2783
264,112
264,975
264,4424
264,1862
264,1021
265,509
265,2635
266,468
266,3475
266,4777
266,1468
266,3706
266,927
269,966
269,1524
269,2036
269,1332
269,4841
269,1471
270,266
270,1285
270,4991
270,2363
270,258
270,1304
271,973
271,3648
272,88
272,2182
272,1751
272,2455
272,1978
272,1119
272,3900
273,261
273,3102
273,3184
273,4638
273,3607
273,2354
277,1043
277,1098
277,4278
277,3437
277,4311
277,3562
278,139
278,1944
278,4343
278,2558
278,304
278,2224
279,110
279,2281
279,131
279,3257
279,2178
279,97
281,37
281,81
281,3776
281,97
281,2942
282,384
282,1313
282,1861
282,2861
282,4643
282,3816
283,887
283,1338
283,4264
283,239
283,4537
283,3443
283,1906
284,259
284,2700
284,1856
284,3684
284,4288
285,125
285,3732
285,3730
285,3531
286,307
286,4937
286,326
286,906
286,3624
289,785
289,3668
289,3121
289,872
289,2149
289,4430
291,31
291,3353
291,90
291,1019
291,3877
291,2663
292,273
292,3877
292,1495
292,1293
292,4490
293,269
293,2375
293,4847
293,1355
293,4941
293,4660
294,140
294,258
294,1304
294,1442
294,812
294,3618
294,4338
295,331
295,3784
295,1161
295,3722
295,2285
295,4922
296,709
296,2886
296,3080
296,4934
296,4992
296,3128
296,3576
297,623
299,783
299,2922
299,4735
299,3142
299,3536
300,131
300,2178
300,97
300,1779
300,3750
303,731
303,2012
303,1296
303,1930
303,3267
303,2647
303,1257
304,161
304,1986
304,4525
304,3217
304,3586
304,2140
305,973
305,3648
309,96
309,4833
309,1117
309,2391
309,3009
310,122
310,2972
310,4604
310,3486
310,31
311,251
311,3066
311,1796
311,4123
311,2798
311,3933
311,2038
312,1046
312,4595
312,2483
312,2385
312,4611
312,1993
313,746
313,2676
313,2032
313,2198
313,3581
314,216
314,2193
314,3000
314,1546
314,4865
317,434
317,4496
317,1067
317,62
317,1845
317,3488
