id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
1872,인생이 막창이네,4.8,1709,"월,화,수,목,금",15:00,03:50,null,0,,
1873,엠브로 돈까스 신촌점,3.9,1573,"월,화,수,목,금,토,일",11:30,21:30,559,0,,
1874,(주)당인가미식,0,1615,null,null,null,null,0,,
1875,연남닭발,4.0,68,"월,화,수,목",18:00,01:00,650,0,,
1876, 현대백화점신촌점 시그니처랩 신촌점,3.0,1838,"월,화,수,목,금,토,일",10:30,21:00,474,0,,
1877,딥(dip),4.7,940,"수,목,금,토,일",11:30,02:00,154,0,,
1878,기중상점,5.0,1388,null,null,null,null,0,,
1879,한판,1.0,2173,null,null,null,null,0,,
1880,투비 위드 유,5.0,1977,null,null,null,788,0,,
1881,잭아저씨 족발,3.3,2200,"월,화,수,목,금,토,일",12:00,01:00,329,0,,
1882,신촌 카우키,4.2,849,null,null,null,702,0,,
1883,김가네,1.5,442,"월,화,수,목,금,토,일",08:00,23:00,null,0,,
1884,라구식당,4.0,1524,"화,수,목,금,토,일",11:30,22:00,652,0,,
1885,개미집 신촌점,3.2,950,"월,화,수,목,금,토,일",11:00,02:00,512,1,,
1886,중국산서찜면,5.0,39,null,null,null,null,0,,
1887,야곱의축복 신촌점,3.9,1052,"월,화,수,목,금,토,일",17:00,02:00,1029,0,,
1888,히마진,5.0,457,null,null,null,9,0,,
1889,닭꼬치야,4.1,2200,"수,목,금,토,일",17:00,24:00,825,0,,
1890,1층갈비탕,2.6,2109,null,null,null,193,0,,
1891,안테이쿠,4.0,591,null,null,null,null,0,,
1892,신촌아지트,4.7,60,null,null,null,517,0,,
1893,수카페&쿠킹스튜디오,5.0,765,null,null,null,64,0,,
1894,꼬꼬사우나찜닭,5.0,1957,null,null,null,462,0,,
1895,마이턴보드게임카페,4.5,2040,null,null,null,null,0,,
1896,화로상회 신촌점,4.5,469,"월,화,수,목,금,토,일",12:00,23:00,819,1,,
1897,신촌간이회집,3.6,1903,"월,화,수,목,금,토,일",15:00,03:00,990,0,,
1898,돈노코돈먹기,4.9,1792,"월,화,수,목,금,토,일",16:00,02:00,837,0,,
1899,대포찜닭,4.5,2027,"월,화,수,목,금,토,일",11:00,22:00,600,0,,
1900,스크립트(SCRIPT),4.8,401,"월,수,목,일",13:00,23:00,null,0,,
1901,혼밥대장 신촌본점,0,794,"화,수,목,금,토,일",07:30,24:00,6,1,,
1902,어사출또 신촌점,2.7,1684,"월,화,수,목,금,토",12:00,02:00,660,1,,
1903,풍국면 현대백화점 신촌점,5.0,1430,"월,화,수,목,금,토,일",10:30,22:00,165,0,,
1904,한와담소반 현대신촌점,0,1430,null,null,null,null,0,,
1905,건륭 산시도삭면,평점 없음,495,null,null,null,null,0,,
1906,애니,평점 없음,2278,null,null,null,null,0,,
1907,케이에프씨(KFC) 신촌역점,평점 없음,1612,null,null,null,null,1,,
1908,히얼,평점 없음,1719,null,null,null,null,0,,
1909,커피디바인(coffee divine),평점 없음,354,null,null,null,null,0,,
1910,신촌칼국수 이대직영점,평점 없음,716,null,null,null,null,0,,
1911,신촌와인집,평점 없음,739,null,null,null,null,0,,
1912,족발의 품격,평점 없음,1998,null,null,null,null,0,,
1913,데블다이스,평점 없음,2072,null,null,null,null,0,,
1914,김판석초밥,평점 없음,2170,null,null,null,null,0,,
1915,호복,평점 없음,697,null,null,null,null,0,,
1916,유닭스토리,평점 없음,1278,null,null,null,null,0,,
1917,처갓집양념치킨 신촌점,평점 없음,1547,null,null,null,null,1,,
1918,아저씨네 도시락,평점 없음,1224,null,null,null,null,0,,
1919,피슈마라홍탕 신촌점,평점 없음,286,null,null,null,null,1,,
1920,브릭스5221(Brix5221),평점 없음,1963,null,null,null,null,0,,
1921,탐복,평점 없음,1430,null,null,null,null,0,,
1922,아워즈(OURS),평점 없음,1398,null,null,null,null,0,,
1923,피데스,평점 없음,303,null,null,null,null,0,,
1924,신촌꿈틀,평점 없음,288,null,null,null,null,0,,
1925,1970새마을포차 신촌점,평점 없음,1520,null,null,null,null,1,,
1926,배떡 신촌점,평점 없음,1414,null,null,null,null,1,,
1927,푸른바다 찜&탕(신촌점),평점 없음,776,null,null,null,null,0,,
1928,히우카우,평점 없음,314,null,null,null,null,0,,
1929,떡만치,0,108,null,null,null,null,0,,
1930,신촌집,0,1208,"월,화,수,목,금,토,일",17:00,02:00,368,0,,
1931,카라멘야,4.1,1320,"월,화,수,목,금,토,일",11:30,21:30,338,0,,
1932,천궁전 마라탕,3.3,1439,"월,화,수,목,금,토,일",11:00,23:00,313,0,,
1933,토리호람,4.0,829,"월,화,수,목,금,토,일",17:00,04:00,452,0,,
1934,되새김,4.8,1938,"화,수,목,금,토,일",18:00,02:00,583,0,,
1935,에어플레인 모드,4.4,2218,"월,화,수,목,금",17:00,03:00,667,0,,
1936,밍글컵,0,750,null,null,null,null,0,,
1937,홍곱창신촌점,4.1,1220,"월,화,수,목,금,토",14:00,23:30,166,0,,
1938,다트펍(신촌상회),0,2245,null,null,null,null,0,,
1939,소시 중식 레스토랑,4.0,1270,"월,화,수,목,금,토,일",11:00,23:00,203,0,,
1940,청화원,3.4,1233,"월,화,수,목,금,토,일",11:00,23:00,466,0,,
1941,마포닭사리,2.5,492,null,null,null,null,0,,
1942,한솔냉면,5.0,1267,null,null,null,null,0,,
1943,돌장각,0,1267,null,null,null,689,0,,
1944,통통닭,5.0,1226,null,null,null,840,0,,
1945,랑데자뷰 신촌유플렉스,4.3,59,"월,화,수,목,금,토,일",10:30,22:00,667,0,,
1946,김삼보김치찌개,3.8,469,"월,화,수,목,금,토,일",00:00,24:00,null,0,,
1947,영웅갈비찜&별사랑 불고기 신촌점,0,411,null,null,null,null,0,,
1948,지금 이시간,0,1192,null,null,null,null,0,,
1949,1943 신촌점,2.0,365,null,null,null,1009,1,,
1950,피자보이시나 신촌점,4.9,80,"월,화,수,목,금,토,일",12:00,22:00,644,0,,
1951,밥은먹었어?,3.5,484,null,null,null,null,0,,
1952,보울룸 신촌,3.8,1165,"월,화,수,목,금",11:00,21:00,587,0,,
1953,백순대본가 새맛,2.7,673,"월,화,수,목,금,토,일",11:00,23:00,185,0,,
1954,딴따라독두공방,5.0,2216,"월,화,수,목,금,토,일",17:00,01:00,918,0,,
1955,리틀쿠바(Little Cuba),3.7,1165,"월,화,수,목,금,토,일",10:30,22:00,456,0,,
1956,마포등심,0,2017,null,null,null,496,0,,
1957,언플러그드,4.7,1165,"월,화,수,목,금,토,일",10:30,22:00,667,0,,
1958,행복은간장밥 신촌점,3.7,308,"월,화,수,목,금,토,일",11:00,21:30,352,0,,
1959,나무도마 바이 헤이진,5.0,1061,"월,화,수,목,금,토",11:30,22:00,410,0,,
1960,리춘시장 신촌점,2.7,1135,null,null,null,null,1,,
1961,연세로갈매기,5.0,621,"화,수,목,금,토,일",17:00,22:00,460,0,,
1962,신촌브루스,4.8,61,"월,화,수,목,금,토",12:00,20:30,648,0,,
1963,군자 대한곱창 신촌점,3.8,1101,"월,화,수,목,금,토,일",12:00,02:00,729,1,,
1964,달카페,0,1195,null,null,null,null,0,,
1965,7번가피자 신촌마포점,4.9,1494,"월,화,수,목,금,토,일",11:00,23:00,133,1,,
1966,청춘술방,5.0,473,"월,화,수,목,일",17:00,01:00,null,0,,
1967,다모토리,1.7,211,null,null,null,787,0,,
1968,에이투젯(A to Z),3.7,471,"월,화,수,목,금,토,일",12:00,22:00,667,0,,
1969,영미김밥 To Go,4.3,1389,"월,화,수,목,금",08:00,19:00,155,0,,
1970,신촌관,2.5,566,"월,화,수,목,금,토,일",17:00,05:00,86,0,,
1971,춘풍식리,0,665,null,null,null,null,0,,
1972,걸작떡볶이치킨,4.4,2162,"월,화,수,목,금,토,일",12:00,24:00,279,1,,
1973,두찜 신촌점,4.0,1324,"월,화,수,목,금,토,일",11:00,23:00,715,1,,
1974,독수리상회,0,50,"월,화,수,목,금,토,일",17:00,24:00,78,0,,
1975,편장군족발,0,1267,null,null,null,null,1,,
1976,구르미네,5.0,2150,"화,수,목,금,토,일",17:00,02:00,198,0,,
1977,육칠이_신촌점,4.0,1273,null,null,null,null,0,,
1978,히어로보드게임카페 신촌점,4.0,722,"월,화,수,목,금",13:00,24:00,null,0,,
1979,카페앤,4.2,1265,"월,화,수,목,금",12:30,02:00,null,0,,
1980,역전우동0410 신촌점,3.1,75,"월,화,수,목,금,토,일",11:00,22:00,null,1,,
1981,순살만공격 마포신촌점,2.0,1484,null,null,null,null,0,,
1982,라오상하이,4.6,1780,"월,화,수,목,금,토,일",10:00,23:00,300,0,,
1983,육회바른연어,0,164,null,null,null,null,0,,
1984,닭꾸버,3.0,875,null,null,null,null,1,,
1985,보드게임카페 홈즈앤루팡 신촌점,4.2,2212,"월,화,수,목,금",12:30,02:00,null,0,,
1986,드림,1.0,592,null,null,null,null,0,,
1987,제스의부엌 옐로서브마린점,5.0,2006,"월,화,수,목,금,토,일",11:30,21:00,null,0,,
1988,돈내오빠,0,1288,null,null,null,null,0,,
1989,파스타의왕자,0,602,null,null,null,null,0,,
1990,생육회관 신촌점,0,1288,null,null,null,null,0,,
1991,닭꼬치애꼬치다,0,610,"월,화,수,목,금,토,일",17:00,03:00,null,0,,
1992,버거리,4.0,876,"월,화,수,목,금,토,일",10:30,23:30,79,0,,
1993,디자인이야,3.5,1228,null,null,null,null,0,,
1994,카페인타코,5.0,472,"월,화,수,목,금,토,일",15:00,02:00,667,0,,
1995,달떡볶이(신촌점),4.5,2247,null,null,null,null,0,,
1996,아비꼬 현대백화점 유플렉스 신촌점,5.0,1165,null,null,null,1034,0,,
1997,신촌 테라스,5.0,1519,null,null,null,null,0,,
1998,헤븐(HEAVEN),5.0,840,null,null,null,null,0,,
1999,플릭온커피,20,97,"월,화,수,목,금,토,일",11:00,21:00,828,0,,
2000,오늘통닭 신촌점,0,1927,"월,화,수,목,금,토,일",12:00,05:00,null,1,,
2001,셀리스도넛,3.8,1692,"월,화,수,목,금,토,일",12:00,22:00,null,0,,
2002,폴베리,5.0,1165,"월,화,수,목,금,토,일",10:30,22:00,null,0,,
2003,골목분식,5.0,68,null,null,null,null,0,,
2004,오디너리재즈클럽 신촌점,3.0,1399,null,null,null,null,0,,
2005,온달집,3.7,1053,"월,화,수,목,금,토,일",15:00,22:00,12,1,,
2006,떡군이네 떡볶이 홍대신촌점,5.0,1752,"월,화,수,목,금,토,일",11:00,23:00,null,1,,
2007,사루,0,115,null,null,null,null,0,,
2008,방긋,4.8,553,"월,화,수,목,금,토,일",11:30,22:00,202,0,,
2009,제육천재 마포점,0,643,null,null,null,null,0,,
2010,타코마씸 신촌점,4.8,1032,null,null,null,858,0,,
2011,고모집,0,1507,null,null,null,null,0,,
2012,아날로그 네버 다이스,4.3,1644,"화,수,목,금,토,일",13:00,20:00,null,0,,
2013,이백장 돈가스 신촌점,0,1424,"월,화,수,목,금,토,일",09:00,23:00,84,1,,
2014,헤븐,5.0,1533,null,null,null,null,0,,
2015,고기듬뿍 미트박스 마포점,4.2,643,"월,화,수,목,금,토,일",11:00,24:00,null,0,,
2016,족발야시장 신촌점,3.0,2206,"월,화,수,목,금,토,일",16:00,01:00,815,1,,
2017,백곱식당 신촌점,0,1110,"월,화,수,목,금,토,일",16:00,01:00,382,1,,
2018,전주파전,0,2232,"월,화,수,목,금,토",15:00,24:00,112,0,,
2019,로실링,5.0,1542,"월,화,수,목,금,토,일",18:00,24:00,526,0,,
2020,브라더한정식 도시락 신촌점,0,475,"월,화,수,목,금,토,일",10:00,20:00,null,1,,
2021,한강로칼국수,5.0,1267,null,null,null,null,0,,
2022,논탄토 신촌점,4.9,597,"월,화,수,목,금,토,일",10:00,22:00,667,0,,
2023,엘림샐러드카페,0,1421,null,null,null,null,0,,
2024,볼타(volta),5.0,1226,"월,화,수,목",12:00,22:00,33,0,,
2025,육연소,4.0,1226,null,null,null,692,0,,
2026,할리스 신촌연세로점,3.0,737,null,null,null,237,0,,
2027,타오,4.9,130,null,null,null,760,0,,
2028,마포차돌박이,4.7,366,"월,화,수,목,일",14:00,24:00,693,0,,
2029,엄마의부엌,0,2106,null,null,null,null,0,,
2030,이젠푸드랩,5.0,1056,"화,수,목,금,토,일",11:00,23:00,658,0,,
2031,파인돈까스,0,1862,"월,화,수,목,금,토",11:30,21:00,469,0,,
2032,오모플라타,0,1690,"월,화,수,목,금,토,일",11:00,22:00,null,0,,
2033,바나프레소 신촌점,5.0,18,null,null,null,null,0,,
2034,타코야끼 in 문어,3.5,1057,null,null,null,null,0,,
2035,대패가1900 서대문구점,0,383,null,null,null,null,1,,
2036,블랙번즈,0,2161,null,null,null,null,0,,
2037,무한,1.0,928,null,null,null,null,0,,
2038,뉴욕비,3.8,1891,"월,화,수,목,금,토,일",09:00,01:00,453,0,,
2039,신부양각,4.0,1314,null,null,null,null,0,,
2040,만리장성,4.1,2184,null,null,null,661,0,,
2041,다래원,1.9,526,null,null,null,656,0,,
2042,돈낭군 찌개부인,4.0,1599,null,null,null,null,0,,
2043,대박,0,914,null,null,null,null,0,,
2044,"왕돈까스, 왕냉면",2.8,240,"월,화,수,목,금,토,일",00:00,24:00,295,1,,
2045,다래식당,3.2,870,"월,화,수,목,금,토,일",11:30,20:00,17,0,,
2046,순천식당,4.8,914,null,null,null,null,0,,
2047,신짱스시,51,251,"화,수,목,금,토",11:30,22:00,308,0,,
2048,큐피드,0,109,null,null,null,null,0,,
2049,향백,3.5,2166,null,null,null,null,0,,
2050,처갓집양념치킨 장승배기점,5.0,1545,null,null,null,769,1,,
2051,연래춘,4.6,247,"월,화,수,목,금",09:00,21:00,661,0,,
2052,놀부자 정육식당,2.0,1537,null,null,null,null,0,,
2053,전주식당,0,1481,null,null,null,null,0,,
2054,성대낙지,3.5,275,null,null,null,344,0,,
2055,소품은돼지,평점 없음,2061,null,null,null,null,0,,
2056,서호식당,0,1674,null,null,null,null,0,,
2057,늘보리 냉삼집,4.0,338,"월,화,수,목,금,토,일",17:00,01:00,null,0,,
2058,파라다이스,4.0,1855,"월,화,수,목,금",09:00,21:00,673,0,,
2059,원조흥부왕족발,2.7,2061,"월,화,수,목,금,토,일",12:00,22:00,646,0,,
2060,우리포차,0,185,null,null,null,null,0,,
2061,고향삼계탕,2.5,2063,null,null,null,592,0,,
2062,칸꼬시,0,1365,null,null,null,null,0,,
2063,백채신대방삼거리(백채김치찌개),4.3,1350,"월,화,수,목,금,토,일",11:00,24:00,439,0,,
2064,이가초밥,3.9,275,"월,화,수,목,금,토",11:30,21:00,419,0,,
